contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-responsories-00001,00376,0,13,13.0,62,62,62,62,62,62,62,62,60,60,60,60,62,62,62,62,65,65,65,64,64,64,64,62,62,62,62,64,64,64,64,65,65,65,62,62,62,62,60,60,60,60,62,62,62,62,62,62,62,62
liber-responsories-00002,00376,1,13,13.0,64,64,64,64,65,65,65,65,67,67,67,67,67,67,67,67,65,65,65,62,62,62,62,65,65,65,65,64,64,64,64,62,62,62,65,65,65,65,65,65,65,65,62,62,62,62,62,62,62,62
liber-responsories-00003,00376,2,20,20.0,62,62,62,64,64,60,60,60,62,62,62,62,62,67,67,67,67,67,67,67,65,65,65,65,65,64,64,62,62,62,60,60,62,62,62,64,64,65,65,65,64,64,60,60,60,62,62,60,60,60
liber-responsories-00004,00376,3,18,18.0,60,60,60,62,62,62,62,62,62,64,64,65,65,65,67,67,67,67,67,67,65,65,64,64,64,64,64,64,67,67,69,69,69,70,70,70,67,67,67,65,65,64,64,64,65,65,65,62,62,62
liber-responsories-00005,00376,4,9,9.0,62,62,62,62,62,62,64,64,64,64,64,62,62,62,62,62,62,60,60,60,60,60,62,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,62
liber-responsories-00006,00376,5,15,15.0,69,69,69,69,69,69,69,67,67,67,69,69,69,69,65,65,65,67,67,67,69,69,69,70,70,70,70,67,67,67,65,65,65,64,64,64,62,62,62,62,64,64,64,62,62,62,62,62,62,62
liber-responsories-00007,00376,6,22,22.0,69,69,69,69,69,67,67,69,69,72,72,72,71,71,67,67,67,67,69,69,69,67,67,65,65,64,64,62,62,64,64,64,65,65,67,67,64,64,65,65,65,64,64,60,60,62,62,62,62,62
liber-responsories-00008,00376,7,12,12.0,60,60,60,60,60,65,65,65,65,64,64,64,64,65,65,65,65,67,67,67,67,67,67,67,67,60,60,60,60,62,62,62,62,64,64,64,64,65,65,65,65,64,64,64,64,62,62,62,62,62
liber-responsories-00009,00376,8,7,7.0,65,65,65,65,65,65,65,64,64,64,64,64,64,64,65,65,65,65,65,65,65,64,64,64,64,64,64,64,62,62,62,62,62,62,62,64,64,64,64,64,64,64,62,62,62,62,62,62,62,62
liber-responsories-00010,00376,9,9,9.0,62,62,62,62,62,62,60,60,60,60,60,62,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,62,60,60,60,60,60,60,60,60,60,60,60
